prompt,color,estilo,elemento,posicion,color_enc,estilo_enc,elemento_enc,posicion_enc
"Quiero una camiseta con diseño de guitarra en estilo minimalista, color blanco, posición pecho",blanco,minimalista,guitarra,pecho,1,1,3,3
"Camiseta de color blanco, diseño de dragón, estilo retro, zona espalda",blanco,retro,dragón,espalda,1,2,2,1
"Necesito una camiseta con gráfico de sol en zona centrado, color azul, estilo urbano",azul,urbano,sol,centrado,0,3,6,0
"Camiseta color blanco, estilo retro, con estampado de lobo en zona esquina",blanco,retro,lobo,esquina,1,2,4,2
"Diseñar camiseta: elemento gráfico dragón, color gris, estilo retro, ubicación centrado",gris,retro,dragón,centrado,2,2,2,0
"Diseño para camiseta: texto en posición centrado, color gris, estilo visual minimalista",gris,minimalista,texto,centrado,2,1,7,0
Camiseta de color negro con motivo minimalista de dragón en la zona esquina,negro,minimalista,dragón,esquina,3,1,2,2
"Camiseta color azul, estilo urbano, con estampado de águila en zona esquina",azul,urbano,águila,esquina,0,3,8,2
"Crear camiseta de estilo urbano con motivo de guitarra en color gris, zona espalda",gris,urbano,guitarra,espalda,2,3,3,1
"Generar camiseta de estilo retro, color negro, imagen de automóvil en zona esquina",negro,retro,automóvil,esquina,3,2,0,2
"Quiero estampado de árbol en zona centrado, color gris, estilo urbano",gris,urbano,árbol,centrado,2,3,9,0
"Diseño de camiseta: gráfico de guitarra, color azul, estilo vintage, posición pecho",azul,vintage,guitarra,pecho,0,4,3,3
"Camiseta con imagen de montaña, color rojo, estilo retro, posición centrado",rojo,retro,montaña,centrado,4,2,5,0
Camiseta de color negro con motivo minimalista de guitarra en la zona centrado,negro,minimalista,guitarra,centrado,3,1,3,0
"Camiseta de color verde, diseño de árbol, estilo deportivo, zona pecho",verde,deportivo,árbol,pecho,5,0,9,3
"Quiero una camiseta con diseño de águila en estilo vintage, color azul, posición centrado",azul,vintage,águila,centrado,0,4,8,0
Camiseta de color negro con motivo urbano de sol en la zona esquina,negro,urbano,sol,esquina,3,3,6,2
"Diseño para camiseta: árbol en posición esquina, color verde, estilo visual minimalista",verde,minimalista,árbol,esquina,5,1,9,2
"Diseño de camiseta: gráfico de automóvil, color verde, estilo urbano, posición pecho",verde,urbano,automóvil,pecho,5,3,0,3
"Quiero una camiseta con diseño de automóvil en estilo vintage, color blanco, posición pecho",blanco,vintage,automóvil,pecho,1,4,0,3
"Camiseta de color azul, diseño de sol, estilo deportivo, zona espalda",azul,deportivo,sol,espalda,0,0,6,1
