prompt,color,estilo,elemento,posicion
"Diseño de camiseta: gráfico de montaña, color negro, estilo minimalista, posición centrado",negro,minimalista,montaña,centrado
"Quiero una camiseta con diseño de montaña en estilo minimalista, color negro, posición pecho",negro,minimalista,montaña,pecho
"Camiseta de color negro, diseño de montaña, estilo minimalista, zona esquina",negro,minimalista,montaña,esquina
"Crear camiseta de estilo minimalista con motivo de montaña en color negro, zona espalda",negro,minimalista,montaña,espalda
"Necesito una camiseta con gráfico de guitarra en zona centrado, color negro, estilo minimalista",negro,minimalista,guitarra,centrado
"Camiseta con estampado de guitarra, color principal negro, estilo visual minimalista, zona pecho",negro,minimalista,guitarra,pecho
"Camiseta con estampado de guitarra, color principal negro, estilo visual minimalista, zona esquina",negro,minimalista,guitarra,esquina
"Diseñar camiseta: elemento gráfico guitarra, color negro, estilo minimalista, ubicación espalda",negro,minimalista,guitarra,espalda
"Crear camiseta de estilo minimalista con motivo de calavera en color negro, zona centrado",negro,minimalista,calavera,centrado
"Quiero una camiseta con diseño de calavera en estilo minimalista, color negro, posición pecho",negro,minimalista,calavera,pecho
"Diseño de camiseta: gráfico de calavera, color negro, estilo minimalista, posición esquina",negro,minimalista,calavera,esquina
"Crear camiseta de estilo minimalista con motivo de calavera en color negro, zona espalda",negro,minimalista,calavera,espalda
"Quiero estampado de lobo en zona centrado, color negro, estilo minimalista",negro,minimalista,lobo,centrado
"Quiero una camiseta con diseño de lobo en estilo minimalista, color negro, posición pecho",negro,minimalista,lobo,pecho
"Camiseta con imagen de lobo, color negro, estilo minimalista, posición esquina",negro,minimalista,lobo,esquina
"Diseño para camiseta: lobo en posición espalda, color negro, estilo visual minimalista",negro,minimalista,lobo,espalda
"Camiseta de color negro, diseño de águila, estilo minimalista, zona centrado",negro,minimalista,águila,centrado
"Camiseta de color negro, diseño de águila, estilo minimalista, zona pecho",negro,minimalista,águila,pecho
"Quiero una camiseta con diseño de águila en estilo minimalista, color negro, posición esquina",negro,minimalista,águila,esquina
"Camiseta con estampado de águila, color principal negro, estilo visual minimalista, zona espalda",negro,minimalista,águila,espalda
"Camiseta con estampado de sol, color principal negro, estilo visual minimalista, zona centrado",negro,minimalista,sol,centrado
"Quiero estampado de sol en zona pecho, color negro, estilo minimalista",negro,minimalista,sol,pecho
"Camiseta con imagen de sol, color negro, estilo minimalista, posición esquina",negro,minimalista,sol,esquina
"Camiseta de color negro, diseño de sol, estilo minimalista, zona espalda",negro,minimalista,sol,espalda
"Quiero estampado de árbol en zona centrado, color negro, estilo minimalista",negro,minimalista,árbol,centrado
"Camiseta con estampado de árbol, color principal negro, estilo visual minimalista, zona pecho",negro,minimalista,árbol,pecho
"Crear camiseta de estilo minimalista con motivo de árbol en color negro, zona esquina",negro,minimalista,árbol,esquina
"Diseño de camiseta: gráfico de árbol, color negro, estilo minimalista, posición espalda",negro,minimalista,árbol,espalda
"Crear camiseta de estilo minimalista con motivo de automóvil en color negro, zona centrado",negro,minimalista,automóvil,centrado
"Quiero estampado de automóvil en zona pecho, color negro, estilo minimalista",negro,minimalista,automóvil,pecho
"Diseño para camiseta: automóvil en posición esquina, color negro, estilo visual minimalista",negro,minimalista,automóvil,esquina
"Camiseta con estampado de automóvil, color principal negro, estilo visual minimalista, zona espalda",negro,minimalista,automóvil,espalda
"Camiseta color negro, estilo minimalista, con estampado de dragón en zona centrado",negro,minimalista,dragón,centrado
"Camiseta con imagen de dragón, color negro, estilo minimalista, posición pecho",negro,minimalista,dragón,pecho
"Necesito una camiseta con gráfico de dragón en zona esquina, color negro, estilo minimalista",negro,minimalista,dragón,esquina
Camiseta de color negro con motivo minimalista de dragón en la zona espalda,negro,minimalista,dragón,espalda
"Quiero diseño de texto en camiseta color negro, estilo minimalista, ubicado en centrado",negro,minimalista,texto,centrado
"Camiseta de color negro, diseño de texto, estilo minimalista, zona pecho",negro,minimalista,texto,pecho
Camiseta de color negro con motivo minimalista de texto en la zona esquina,negro,minimalista,texto,esquina
Camiseta de color negro con motivo minimalista de texto en la zona espalda,negro,minimalista,texto,espalda
"Diseñar camiseta: elemento gráfico montaña, color negro, estilo vintage, ubicación centrado",negro,vintage,montaña,centrado
"Crear camiseta de estilo vintage con motivo de montaña en color negro, zona pecho",negro,vintage,montaña,pecho
"Diseño para camiseta: montaña en posición esquina, color negro, estilo visual vintage",negro,vintage,montaña,esquina
"Generar camiseta de estilo vintage, color negro, imagen de montaña en zona espalda",negro,vintage,montaña,espalda
"Necesito una camiseta con gráfico de guitarra en zona centrado, color negro, estilo vintage",negro,vintage,guitarra,centrado
"Diseñar camiseta: elemento gráfico guitarra, color negro, estilo vintage, ubicación pecho",negro,vintage,guitarra,pecho
"Camiseta con estampado de guitarra, color principal negro, estilo visual vintage, zona esquina",negro,vintage,guitarra,esquina
Camiseta de color negro con motivo vintage de guitarra en la zona espalda,negro,vintage,guitarra,espalda
"Generar camiseta de estilo vintage, color negro, imagen de calavera en zona centrado",negro,vintage,calavera,centrado
"Quiero una camiseta con diseño de calavera en estilo vintage, color negro, posición pecho",negro,vintage,calavera,pecho
"Quiero una camiseta con diseño de calavera en estilo vintage, color negro, posición esquina",negro,vintage,calavera,esquina
"Diseño para camiseta: calavera en posición espalda, color negro, estilo visual vintage",negro,vintage,calavera,espalda
"Quiero una camiseta con diseño de lobo en estilo vintage, color negro, posición centrado",negro,vintage,lobo,centrado
"Generar camiseta de estilo vintage, color negro, imagen de lobo en zona pecho",negro,vintage,lobo,pecho
"Quiero diseño de lobo en camiseta color negro, estilo vintage, ubicado en esquina",negro,vintage,lobo,esquina
"Generar camiseta de estilo vintage, color negro, imagen de lobo en zona espalda",negro,vintage,lobo,espalda
"Camiseta con imagen de águila, color negro, estilo vintage, posición centrado",negro,vintage,águila,centrado
"Necesito una camiseta con gráfico de águila en zona pecho, color negro, estilo vintage",negro,vintage,águila,pecho
Camiseta de color negro con motivo vintage de águila en la zona esquina,negro,vintage,águila,esquina
"Camiseta de color negro, diseño de águila, estilo vintage, zona espalda",negro,vintage,águila,espalda
"Crear camiseta de estilo vintage con motivo de sol en color negro, zona centrado",negro,vintage,sol,centrado
"Camiseta color negro, estilo vintage, con estampado de sol en zona pecho",negro,vintage,sol,pecho
"Quiero estampado de sol en zona esquina, color negro, estilo vintage",negro,vintage,sol,esquina
"Quiero una camiseta con diseño de sol en estilo vintage, color negro, posición espalda",negro,vintage,sol,espalda
"Diseño para camiseta: árbol en posición centrado, color negro, estilo visual vintage",negro,vintage,árbol,centrado
"Quiero una camiseta con diseño de árbol en estilo vintage, color negro, posición pecho",negro,vintage,árbol,pecho
"Quiero estampado de árbol en zona esquina, color negro, estilo vintage",negro,vintage,árbol,esquina
"Necesito una camiseta con gráfico de árbol en zona espalda, color negro, estilo vintage",negro,vintage,árbol,espalda
"Quiero diseño de automóvil en camiseta color negro, estilo vintage, ubicado en centrado",negro,vintage,automóvil,centrado
"Diseño de camiseta: gráfico de automóvil, color negro, estilo vintage, posición pecho",negro,vintage,automóvil,pecho
"Camiseta con imagen de automóvil, color negro, estilo vintage, posición esquina",negro,vintage,automóvil,esquina
"Quiero diseño de automóvil en camiseta color negro, estilo vintage, ubicado en espalda",negro,vintage,automóvil,espalda
"Generar camiseta de estilo vintage, color negro, imagen de dragón en zona centrado",negro,vintage,dragón,centrado
"Camiseta con imagen de dragón, color negro, estilo vintage, posición pecho",negro,vintage,dragón,pecho
"Camiseta con estampado de dragón, color principal negro, estilo visual vintage, zona esquina",negro,vintage,dragón,esquina
"Crear camiseta de estilo vintage con motivo de dragón en color negro, zona espalda",negro,vintage,dragón,espalda
"Quiero una camiseta con diseño de texto en estilo vintage, color negro, posición centrado",negro,vintage,texto,centrado
"Camiseta de color negro, diseño de texto, estilo vintage, zona pecho",negro,vintage,texto,pecho
"Diseño de camiseta: gráfico de texto, color negro, estilo vintage, posición esquina",negro,vintage,texto,esquina
"Camiseta con estampado de texto, color principal negro, estilo visual vintage, zona espalda",negro,vintage,texto,espalda
Camiseta de color negro con motivo urbano de montaña en la zona centrado,negro,urbano,montaña,centrado
"Necesito una camiseta con gráfico de montaña en zona pecho, color negro, estilo urbano",negro,urbano,montaña,pecho
"Quiero una camiseta con diseño de montaña en estilo urbano, color negro, posición esquina",negro,urbano,montaña,esquina
"Quiero diseño de montaña en camiseta color negro, estilo urbano, ubicado en espalda",negro,urbano,montaña,espalda
"Camiseta con estampado de guitarra, color principal negro, estilo visual urbano, zona centrado",negro,urbano,guitarra,centrado
"Quiero diseño de guitarra en camiseta color negro, estilo urbano, ubicado en pecho",negro,urbano,guitarra,pecho
"Quiero una camiseta con diseño de guitarra en estilo urbano, color negro, posición esquina",negro,urbano,guitarra,esquina
"Diseño para camiseta: guitarra en posición espalda, color negro, estilo visual urbano",negro,urbano,guitarra,espalda
"Necesito una camiseta con gráfico de calavera en zona centrado, color negro, estilo urbano",negro,urbano,calavera,centrado
"Camiseta color negro, estilo urbano, con estampado de calavera en zona pecho",negro,urbano,calavera,pecho
"Diseño de camiseta: gráfico de calavera, color negro, estilo urbano, posición esquina",negro,urbano,calavera,esquina
"Quiero diseño de calavera en camiseta color negro, estilo urbano, ubicado en espalda",negro,urbano,calavera,espalda
"Generar camiseta de estilo urbano, color negro, imagen de lobo en zona centrado",negro,urbano,lobo,centrado
"Diseñar camiseta: elemento gráfico lobo, color negro, estilo urbano, ubicación pecho",negro,urbano,lobo,pecho
"Generar camiseta de estilo urbano, color negro, imagen de lobo en zona esquina",negro,urbano,lobo,esquina
"Generar camiseta de estilo urbano, color negro, imagen de lobo en zona espalda",negro,urbano,lobo,espalda
"Camiseta con estampado de águila, color principal negro, estilo visual urbano, zona centrado",negro,urbano,águila,centrado
"Diseño de camiseta: gráfico de águila, color negro, estilo urbano, posición pecho",negro,urbano,águila,pecho
"Necesito una camiseta con gráfico de águila en zona esquina, color negro, estilo urbano",negro,urbano,águila,esquina
"Crear camiseta de estilo urbano con motivo de águila en color negro, zona espalda",negro,urbano,águila,espalda
"Diseño de camiseta: gráfico de sol, color negro, estilo urbano, posición centrado",negro,urbano,sol,centrado
"Diseño de camiseta: gráfico de sol, color negro, estilo urbano, posición pecho",negro,urbano,sol,pecho
"Quiero una camiseta con diseño de sol en estilo urbano, color negro, posición esquina",negro,urbano,sol,esquina
"Camiseta con imagen de sol, color negro, estilo urbano, posición espalda",negro,urbano,sol,espalda
"Diseño de camiseta: gráfico de árbol, color negro, estilo urbano, posición centrado",negro,urbano,árbol,centrado
"Diseñar camiseta: elemento gráfico árbol, color negro, estilo urbano, ubicación pecho",negro,urbano,árbol,pecho
"Quiero estampado de árbol en zona esquina, color negro, estilo urbano",negro,urbano,árbol,esquina
"Crear camiseta de estilo urbano con motivo de árbol en color negro, zona espalda",negro,urbano,árbol,espalda
"Camiseta con estampado de automóvil, color principal negro, estilo visual urbano, zona centrado",negro,urbano,automóvil,centrado
"Diseñar camiseta: elemento gráfico automóvil, color negro, estilo urbano, ubicación pecho",negro,urbano,automóvil,pecho
"Camiseta color negro, estilo urbano, con estampado de automóvil en zona esquina",negro,urbano,automóvil,esquina
"Diseño para camiseta: automóvil en posición espalda, color negro, estilo visual urbano",negro,urbano,automóvil,espalda
"Necesito una camiseta con gráfico de dragón en zona centrado, color negro, estilo urbano",negro,urbano,dragón,centrado
"Diseño de camiseta: gráfico de dragón, color negro, estilo urbano, posición pecho",negro,urbano,dragón,pecho
"Crear camiseta de estilo urbano con motivo de dragón en color negro, zona esquina",negro,urbano,dragón,esquina
"Quiero estampado de dragón en zona espalda, color negro, estilo urbano",negro,urbano,dragón,espalda
"Camiseta con estampado de texto, color principal negro, estilo visual urbano, zona centrado",negro,urbano,texto,centrado
"Diseño de camiseta: gráfico de texto, color negro, estilo urbano, posición pecho",negro,urbano,texto,pecho
"Generar camiseta de estilo urbano, color negro, imagen de texto en zona esquina",negro,urbano,texto,esquina
"Quiero diseño de texto en camiseta color negro, estilo urbano, ubicado en espalda",negro,urbano,texto,espalda
Camiseta de color negro con motivo deportivo de montaña en la zona centrado,negro,deportivo,montaña,centrado
Camiseta de color negro con motivo deportivo de montaña en la zona pecho,negro,deportivo,montaña,pecho
"Camiseta de color negro, diseño de montaña, estilo deportivo, zona esquina",negro,deportivo,montaña,esquina
"Camiseta con estampado de montaña, color principal negro, estilo visual deportivo, zona espalda",negro,deportivo,montaña,espalda
"Quiero diseño de guitarra en camiseta color negro, estilo deportivo, ubicado en centrado",negro,deportivo,guitarra,centrado
"Camiseta de color negro, diseño de guitarra, estilo deportivo, zona pecho",negro,deportivo,guitarra,pecho
Camiseta de color negro con motivo deportivo de guitarra en la zona esquina,negro,deportivo,guitarra,esquina
"Generar camiseta de estilo deportivo, color negro, imagen de guitarra en zona espalda",negro,deportivo,guitarra,espalda
"Diseño para camiseta: calavera en posición centrado, color negro, estilo visual deportivo",negro,deportivo,calavera,centrado
"Necesito una camiseta con gráfico de calavera en zona pecho, color negro, estilo deportivo",negro,deportivo,calavera,pecho
"Quiero una camiseta con diseño de calavera en estilo deportivo, color negro, posición esquina",negro,deportivo,calavera,esquina
"Camiseta con estampado de calavera, color principal negro, estilo visual deportivo, zona espalda",negro,deportivo,calavera,espalda
"Camiseta con imagen de lobo, color negro, estilo deportivo, posición centrado",negro,deportivo,lobo,centrado
"Crear camiseta de estilo deportivo con motivo de lobo en color negro, zona pecho",negro,deportivo,lobo,pecho
"Generar camiseta de estilo deportivo, color negro, imagen de lobo en zona esquina",negro,deportivo,lobo,esquina
"Camiseta con estampado de lobo, color principal negro, estilo visual deportivo, zona espalda",negro,deportivo,lobo,espalda
"Diseño de camiseta: gráfico de águila, color negro, estilo deportivo, posición centrado",negro,deportivo,águila,centrado
"Camiseta color negro, estilo deportivo, con estampado de águila en zona pecho",negro,deportivo,águila,pecho
"Diseño para camiseta: águila en posición esquina, color negro, estilo visual deportivo",negro,deportivo,águila,esquina
"Diseño de camiseta: gráfico de águila, color negro, estilo deportivo, posición espalda",negro,deportivo,águila,espalda
"Camiseta color negro, estilo deportivo, con estampado de sol en zona centrado",negro,deportivo,sol,centrado
"Diseñar camiseta: elemento gráfico sol, color negro, estilo deportivo, ubicación pecho",negro,deportivo,sol,pecho
"Necesito una camiseta con gráfico de sol en zona esquina, color negro, estilo deportivo",negro,deportivo,sol,esquina
"Diseñar camiseta: elemento gráfico sol, color negro, estilo deportivo, ubicación espalda",negro,deportivo,sol,espalda
"Camiseta con estampado de árbol, color principal negro, estilo visual deportivo, zona centrado",negro,deportivo,árbol,centrado
"Crear camiseta de estilo deportivo con motivo de árbol en color negro, zona pecho",negro,deportivo,árbol,pecho
"Quiero estampado de árbol en zona esquina, color negro, estilo deportivo",negro,deportivo,árbol,esquina
"Quiero estampado de árbol en zona espalda, color negro, estilo deportivo",negro,deportivo,árbol,espalda
"Necesito una camiseta con gráfico de automóvil en zona centrado, color negro, estilo deportivo",negro,deportivo,automóvil,centrado
"Crear camiseta de estilo deportivo con motivo de automóvil en color negro, zona pecho",negro,deportivo,automóvil,pecho
