id,prompt,color,estilo,elemento,posicion
1,"Diseño de camiseta: gráfico de montaña, color negro, estilo minimalista, posición centrado",negro,minimalista,montaña,centrado
2,"Quiero una camiseta con diseño de montaña en estilo minimalista, color negro, posición pecho",negro,minimalista,montaña,pecho
3,"Camiseta de color negro, diseño de montaña, estilo minimalista, zona esquina",negro,minimalista,montaña,esquina
4,"Crear camiseta de estilo minimalista con motivo de montaña en color negro, zona espalda",negro,minimalista,montaña,espalda
5,"Necesito una camiseta con gráfico de guitarra en zona centrado, color negro, estilo minimalista",negro,minimalista,guitarra,centrado
6,"Camiseta con estampado de guitarra, color principal negro, estilo visual minimalista, zona pecho",negro,minimalista,guitarra,pecho
7,"Camiseta con estampado de guitarra, color principal negro, estilo visual minimalista, zona esquina",negro,minimalista,guitarra,esquina
8,"Diseñar camiseta: elemento gráfico guitarra, color negro, estilo minimalista, ubicación espalda",negro,minimalista,guitarra,espalda
9,"Crear camiseta de estilo minimalista con motivo de calavera en color negro, zona centrado",negro,minimalista,calavera,centrado
10,"Quiero una camiseta con diseño de calavera en estilo minimalista, color negro, posición pecho",negro,minimalista,calavera,pecho
11,"Diseño de camiseta: gráfico de calavera, color negro, estilo minimalista, posición esquina",negro,minimalista,calavera,esquina
12,"Crear camiseta de estilo minimalista con motivo de calavera en color negro, zona espalda",negro,minimalista,calavera,espalda
13,"Quiero estampado de lobo en zona centrado, color negro, estilo minimalista",negro,minimalista,lobo,centrado
14,"Quiero una camiseta con diseño de lobo en estilo minimalista, color negro, posición pecho",negro,minimalista,lobo,pecho
15,"Camiseta con imagen de lobo, color negro, estilo minimalista, posición esquina",negro,minimalista,lobo,esquina
16,"Diseño para camiseta: lobo en posición espalda, color negro, estilo visual minimalista",negro,minimalista,lobo,espalda
17,"Camiseta de color negro, diseño de águila, estilo minimalista, zona centrado",negro,minimalista,águila,centrado
18,"Camiseta de color negro, diseño de águila, estilo minimalista, zona pecho",negro,minimalista,águila,pecho
19,"Quiero una camiseta con diseño de águila en estilo minimalista, color negro, posición esquina",negro,minimalista,águila,esquina
20,"Camiseta con estampado de águila, color principal negro, estilo visual minimalista, zona espalda",negro,minimalista,águila,espalda
21,"Camiseta con estampado de sol, color principal negro, estilo visual minimalista, zona centrado",negro,minimalista,sol,centrado
22,"Quiero estampado de sol en zona pecho, color negro, estilo minimalista",negro,minimalista,sol,pecho
23,"Camiseta con imagen de sol, color negro, estilo minimalista, posición esquina",negro,minimalista,sol,esquina
24,"Camiseta de color negro, diseño de sol, estilo minimalista, zona espalda",negro,minimalista,sol,espalda
25,"Quiero estampado de árbol en zona centrado, color negro, estilo minimalista",negro,minimalista,árbol,centrado
26,"Camiseta con estampado de árbol, color principal negro, estilo visual minimalista, zona pecho",negro,minimalista,árbol,pecho
27,"Crear camiseta de estilo minimalista con motivo de árbol en color negro, zona esquina",negro,minimalista,árbol,esquina
28,"Diseño de camiseta: gráfico de árbol, color negro, estilo minimalista, posición espalda",negro,minimalista,árbol,espalda
29,"Crear camiseta de estilo minimalista con motivo de automóvil en color negro, zona centrado",negro,minimalista,automóvil,centrado
30,"Quiero estampado de automóvil en zona pecho, color negro, estilo minimalista",negro,minimalista,automóvil,pecho
31,"Diseño para camiseta: automóvil en posición esquina, color negro, estilo visual minimalista",negro,minimalista,automóvil,esquina
32,"Camiseta con estampado de automóvil, color principal negro, estilo visual minimalista, zona espalda",negro,minimalista,automóvil,espalda
33,"Camiseta color negro, estilo minimalista, con estampado de dragón en zona centrado",negro,minimalista,dragón,centrado
34,"Camiseta con imagen de dragón, color negro, estilo minimalista, posición pecho",negro,minimalista,dragón,pecho
35,"Necesito una camiseta con gráfico de dragón en zona esquina, color negro, estilo minimalista",negro,minimalista,dragón,esquina
36,Camiseta de color negro con motivo minimalista de dragón en la zona espalda,negro,minimalista,dragón,espalda
37,"Quiero diseño de texto en camiseta color negro, estilo minimalista, ubicado en centrado",negro,minimalista,texto,centrado
38,"Camiseta de color negro, diseño de texto, estilo minimalista, zona pecho",negro,minimalista,texto,pecho
39,Camiseta de color negro con motivo minimalista de texto en la zona esquina,negro,minimalista,texto,esquina
40,Camiseta de color negro con motivo minimalista de texto en la zona espalda,negro,minimalista,texto,espalda
41,"Diseñar camiseta: elemento gráfico montaña, color negro, estilo vintage, ubicación centrado",negro,vintage,montaña,centrado
42,"Crear camiseta de estilo vintage con motivo de montaña en color negro, zona pecho",negro,vintage,montaña,pecho
43,"Diseño para camiseta: montaña en posición esquina, color negro, estilo visual vintage",negro,vintage,montaña,esquina
44,"Generar camiseta de estilo vintage, color negro, imagen de montaña en zona espalda",negro,vintage,montaña,espalda
45,"Necesito una camiseta con gráfico de guitarra en zona centrado, color negro, estilo vintage",negro,vintage,guitarra,centrado
46,"Diseñar camiseta: elemento gráfico guitarra, color negro, estilo vintage, ubicación pecho",negro,vintage,guitarra,pecho
47,"Camiseta con estampado de guitarra, color principal negro, estilo visual vintage, zona esquina",negro,vintage,guitarra,esquina
48,Camiseta de color negro con motivo vintage de guitarra en la zona espalda,negro,vintage,guitarra,espalda
49,"Generar camiseta de estilo vintage, color negro, imagen de calavera en zona centrado",negro,vintage,calavera,centrado
50,"Quiero una camiseta con diseño de calavera en estilo vintage, color negro, posición pecho",negro,vintage,calavera,pecho
51,"Quiero una camiseta con diseño de calavera en estilo vintage, color negro, posición esquina",negro,vintage,calavera,esquina
52,"Diseño para camiseta: calavera en posición espalda, color negro, estilo visual vintage",negro,vintage,calavera,espalda
53,"Quiero una camiseta con diseño de lobo en estilo vintage, color negro, posición centrado",negro,vintage,lobo,centrado
54,"Generar camiseta de estilo vintage, color negro, imagen de lobo en zona pecho",negro,vintage,lobo,pecho
55,"Quiero diseño de lobo en camiseta color negro, estilo vintage, ubicado en esquina",negro,vintage,lobo,esquina
56,"Generar camiseta de estilo vintage, color negro, imagen de lobo en zona espalda",negro,vintage,lobo,espalda
57,"Camiseta con imagen de águila, color negro, estilo vintage, posición centrado",negro,vintage,águila,centrado
58,"Necesito una camiseta con gráfico de águila en zona pecho, color negro, estilo vintage",negro,vintage,águila,pecho
59,Camiseta de color negro con motivo vintage de águila en la zona esquina,negro,vintage,águila,esquina
60,"Camiseta de color negro, diseño de águila, estilo vintage, zona espalda",negro,vintage,águila,espalda
61,"Crear camiseta de estilo vintage con motivo de sol en color negro, zona centrado",negro,vintage,sol,centrado
62,"Camiseta color negro, estilo vintage, con estampado de sol en zona pecho",negro,vintage,sol,pecho
63,"Quiero estampado de sol en zona esquina, color negro, estilo vintage",negro,vintage,sol,esquina
64,"Quiero una camiseta con diseño de sol en estilo vintage, color negro, posición espalda",negro,vintage,sol,espalda
65,"Diseño para camiseta: árbol en posición centrado, color negro, estilo visual vintage",negro,vintage,árbol,centrado
66,"Quiero una camiseta con diseño de árbol en estilo vintage, color negro, posición pecho",negro,vintage,árbol,pecho
67,"Quiero estampado de árbol en zona esquina, color negro, estilo vintage",negro,vintage,árbol,esquina
68,"Necesito una camiseta con gráfico de árbol en zona espalda, color negro, estilo vintage",negro,vintage,árbol,espalda
69,"Quiero diseño de automóvil en camiseta color negro, estilo vintage, ubicado en centrado",negro,vintage,automóvil,centrado
70,"Diseño de camiseta: gráfico de automóvil, color negro, estilo vintage, posición pecho",negro,vintage,automóvil,pecho
71,"Camiseta con imagen de automóvil, color negro, estilo vintage, posición esquina",negro,vintage,automóvil,esquina
72,"Quiero diseño de automóvil en camiseta color negro, estilo vintage, ubicado en espalda",negro,vintage,automóvil,espalda
73,"Generar camiseta de estilo vintage, color negro, imagen de dragón en zona centrado",negro,vintage,dragón,centrado
74,"Camiseta con imagen de dragón, color negro, estilo vintage, posición pecho",negro,vintage,dragón,pecho
75,"Camiseta con estampado de dragón, color principal negro, estilo visual vintage, zona esquina",negro,vintage,dragón,esquina
76,"Crear camiseta de estilo vintage con motivo de dragón en color negro, zona espalda",negro,vintage,dragón,espalda
77,"Quiero una camiseta con diseño de texto en estilo vintage, color negro, posición centrado",negro,vintage,texto,centrado
78,"Camiseta de color negro, diseño de texto, estilo vintage, zona pecho",negro,vintage,texto,pecho
79,"Diseño de camiseta: gráfico de texto, color negro, estilo vintage, posición esquina",negro,vintage,texto,esquina
80,"Camiseta con estampado de texto, color principal negro, estilo visual vintage, zona espalda",negro,vintage,texto,espalda
81,Camiseta de color negro con motivo urbano de montaña en la zona centrado,negro,urbano,montaña,centrado
82,"Necesito una camiseta con gráfico de montaña en zona pecho, color negro, estilo urbano",negro,urbano,montaña,pecho
83,"Quiero una camiseta con diseño de montaña en estilo urbano, color negro, posición esquina",negro,urbano,montaña,esquina
84,"Quiero diseño de montaña en camiseta color negro, estilo urbano, ubicado en espalda",negro,urbano,montaña,espalda
85,"Camiseta con estampado de guitarra, color principal negro, estilo visual urbano, zona centrado",negro,urbano,guitarra,centrado
86,"Quiero diseño de guitarra en camiseta color negro, estilo urbano, ubicado en pecho",negro,urbano,guitarra,pecho
87,"Quiero una camiseta con diseño de guitarra en estilo urbano, color negro, posición esquina",negro,urbano,guitarra,esquina
88,"Diseño para camiseta: guitarra en posición espalda, color negro, estilo visual urbano",negro,urbano,guitarra,espalda
89,"Necesito una camiseta con gráfico de calavera en zona centrado, color negro, estilo urbano",negro,urbano,calavera,centrado
90,"Camiseta color negro, estilo urbano, con estampado de calavera en zona pecho",negro,urbano,calavera,pecho
91,"Diseño de camiseta: gráfico de calavera, color negro, estilo urbano, posición esquina",negro,urbano,calavera,esquina
92,"Quiero diseño de calavera en camiseta color negro, estilo urbano, ubicado en espalda",negro,urbano,calavera,espalda
93,"Generar camiseta de estilo urbano, color negro, imagen de lobo en zona centrado",negro,urbano,lobo,centrado
94,"Diseñar camiseta: elemento gráfico lobo, color negro, estilo urbano, ubicación pecho",negro,urbano,lobo,pecho
95,"Generar camiseta de estilo urbano, color negro, imagen de lobo en zona esquina",negro,urbano,lobo,esquina
96,"Generar camiseta de estilo urbano, color negro, imagen de lobo en zona espalda",negro,urbano,lobo,espalda
97,"Camiseta con estampado de águila, color principal negro, estilo visual urbano, zona centrado",negro,urbano,águila,centrado
98,"Diseño de camiseta: gráfico de águila, color negro, estilo urbano, posición pecho",negro,urbano,águila,pecho
99,"Necesito una camiseta con gráfico de águila en zona esquina, color negro, estilo urbano",negro,urbano,águila,esquina
100,"Crear camiseta de estilo urbano con motivo de águila en color negro, zona espalda",negro,urbano,águila,espalda
101,"Diseño de camiseta: gráfico de sol, color negro, estilo urbano, posición centrado",negro,urbano,sol,centrado
102,"Diseño de camiseta: gráfico de sol, color negro, estilo urbano, posición pecho",negro,urbano,sol,pecho
103,"Quiero una camiseta con diseño de sol en estilo urbano, color negro, posición esquina",negro,urbano,sol,esquina
104,"Camiseta con imagen de sol, color negro, estilo urbano, posición espalda",negro,urbano,sol,espalda
105,"Diseño de camiseta: gráfico de árbol, color negro, estilo urbano, posición centrado",negro,urbano,árbol,centrado
106,"Diseñar camiseta: elemento gráfico árbol, color negro, estilo urbano, ubicación pecho",negro,urbano,árbol,pecho
107,"Quiero estampado de árbol en zona esquina, color negro, estilo urbano",negro,urbano,árbol,esquina
108,"Crear camiseta de estilo urbano con motivo de árbol en color negro, zona espalda",negro,urbano,árbol,espalda
109,"Camiseta con estampado de automóvil, color principal negro, estilo visual urbano, zona centrado",negro,urbano,automóvil,centrado
110,"Diseñar camiseta: elemento gráfico automóvil, color negro, estilo urbano, ubicación pecho",negro,urbano,automóvil,pecho
111,"Camiseta color negro, estilo urbano, con estampado de automóvil en zona esquina",negro,urbano,automóvil,esquina
112,"Diseño para camiseta: automóvil en posición espalda, color negro, estilo visual urbano",negro,urbano,automóvil,espalda
113,"Necesito una camiseta con gráfico de dragón en zona centrado, color negro, estilo urbano",negro,urbano,dragón,centrado
114,"Diseño de camiseta: gráfico de dragón, color negro, estilo urbano, posición pecho",negro,urbano,dragón,pecho
115,"Crear camiseta de estilo urbano con motivo de dragón en color negro, zona esquina",negro,urbano,dragón,esquina
116,"Quiero estampado de dragón en zona espalda, color negro, estilo urbano",negro,urbano,dragón,espalda
117,"Camiseta con estampado de texto, color principal negro, estilo visual urbano, zona centrado",negro,urbano,texto,centrado
118,"Diseño de camiseta: gráfico de texto, color negro, estilo urbano, posición pecho",negro,urbano,texto,pecho
119,"Generar camiseta de estilo urbano, color negro, imagen de texto en zona esquina",negro,urbano,texto,esquina
120,"Quiero diseño de texto en camiseta color negro, estilo urbano, ubicado en espalda",negro,urbano,texto,espalda
121,Camiseta de color negro con motivo deportivo de montaña en la zona centrado,negro,deportivo,montaña,centrado
122,Camiseta de color negro con motivo deportivo de montaña en la zona pecho,negro,deportivo,montaña,pecho
123,"Camiseta de color negro, diseño de montaña, estilo deportivo, zona esquina",negro,deportivo,montaña,esquina
124,"Camiseta con estampado de montaña, color principal negro, estilo visual deportivo, zona espalda",negro,deportivo,montaña,espalda
125,"Quiero diseño de guitarra en camiseta color negro, estilo deportivo, ubicado en centrado",negro,deportivo,guitarra,centrado
126,"Camiseta de color negro, diseño de guitarra, estilo deportivo, zona pecho",negro,deportivo,guitarra,pecho
127,Camiseta de color negro con motivo deportivo de guitarra en la zona esquina,negro,deportivo,guitarra,esquina
128,"Generar camiseta de estilo deportivo, color negro, imagen de guitarra en zona espalda",negro,deportivo,guitarra,espalda
129,"Diseño para camiseta: calavera en posición centrado, color negro, estilo visual deportivo",negro,deportivo,calavera,centrado
130,"Necesito una camiseta con gráfico de calavera en zona pecho, color negro, estilo deportivo",negro,deportivo,calavera,pecho
131,"Quiero una camiseta con diseño de calavera en estilo deportivo, color negro, posición esquina",negro,deportivo,calavera,esquina
132,"Camiseta con estampado de calavera, color principal negro, estilo visual deportivo, zona espalda",negro,deportivo,calavera,espalda
133,"Camiseta con imagen de lobo, color negro, estilo deportivo, posición centrado",negro,deportivo,lobo,centrado
